iter	MultiClass
228	1.060302745
229	1.059491375
230	1.05900804
231	1.058617033
232	1.057980895
233	1.057150628
234	1.056533345
235	1.055963409
236	1.054918865
237	1.054002501
238	1.053465838
239	1.052783165
240	1.051972206
241	1.051248443
242	1.05071872
243	1.050075668
244	1.049611712
245	1.049095983
246	1.048623055
247	1.04815054
248	1.047587895
249	1.046966264
250	1.04643426
251	1.045859026
252	1.045318424
253	1.044708257
254	1.044024076
255	1.043377821
256	1.042853129
257	1.042313055
258	1.041385661
259	1.040640419
260	1.040086834
261	1.039410723
262	1.039028532
263	1.038298435
264	1.037645253
265	1.037166938
266	1.036585557
267	1.035912916
268	1.035393387
269	1.034757338
270	1.034356964
271	1.033858617
272	1.032991246
273	1.032272555
274	1.031796247
275	1.031168448
276	1.030731837
277	1.029920974
278	1.029156066
279	1.028405849
280	1.027877484
281	1.027250314
282	1.026778024
283	1.025977544
284	1.025575917
285	1.0251211
286	1.024552535
287	1.023783412
288	1.023267747
289	1.022736104
290	1.022329082
291	1.022002731
292	1.021526411
293	1.020985909
294	1.020528721
295	1.019996183
296	1.019364676
297	1.019023347
298	1.018508393
299	1.018129649
300	1.017635525
301	1.017066339
302	1.016630851
303	1.016086016
304	1.015656383
305	1.015123532
306	1.014583732
307	1.014100817
308	1.013574038
309	1.013263582
310	1.012842085
311	1.012261334
312	1.011727026
313	1.011356928
314	1.011008451
315	1.010523359
316	1.010210733
317	1.00974295
318	1.00916172
319	1.008792427
320	1.008393449
321	1.007969429
322	1.007532741
323	1.007168741
324	1.006745824
325	1.006305376
326	1.005944208
327	1.005550091
328	1.005186501
329	1.004691311
330	1.004330478
331	1.003897102
332	1.0033522
333	1.003017066
334	1.002578069
335	1.002036539
336	1.001660255
337	1.001244195
338	1.00089775
339	1.000490114
340	0.999972808
341	0.9996754997
342	0.9992489033
343	0.9989379144
344	0.9986061083
345	0.9981679789
346	0.9977018466
347	0.9974461194
348	0.9971213544
349	0.9965476304
350	0.9961170364
351	0.9957592124
352	0.9953849649
353	0.9949787998
354	0.9947080287
355	0.9943963297
356	0.9940190411
357	0.993700766
358	0.9933091198
359	0.9929297178
360	0.9926119776
361	0.9923753098
362	0.9919995214
363	0.9917106956
364	0.9913357123
365	0.9908352874
366	0.9905880305
367	0.9902207155
368	0.9899325486
369	0.9893029424
370	0.9888105209
371	0.9884562841
372	0.9880182229
373	0.9874571917
374	0.9871009451
375	0.9868116476
376	0.9863917639
377	0.9857444196
378	0.9855428808
379	0.9852571424
380	0.9848636497
381	0.984625169
382	0.9843039832
383	0.9839893483
384	0.9835909054
385	0.9832647708
386	0.9829701132
387	0.9827069268
388	0.9823778611
389	0.9819808662
390	0.9812169349
391	0.9809579942
392	0.9806059598
393	0.980208626
394	0.9798988227
395	0.9794421659
396	0.979184157
397	0.9787361669
398	0.9783333372
399	0.9779751422
400	0.9775634017
401	0.9772314052
402	0.9768586152
403	0.9765859449
404	0.9762134176
405	0.9758601724
406	0.9756620343
407	0.9753749465
408	0.9750832169
409	0.9744676764
410	0.9741925453
411	0.9737713275
412	0.9735083558
413	0.9731673077
414	0.9728650377
415	0.9726442755
416	0.972338214
417	0.9720955707
418	0.9718663314
419	0.9714009687
420	0.9711869024
421	0.9709397147
422	0.9705868316
423	0.970270442
424	0.9701106114
425	0.9697506994
426	0.9695086527
427	0.969276671
428	0.96908174
429	0.9688153567
430	0.9685304556
431	0.9682401184
432	0.967907727
433	0.967671512
434	0.9671330608
435	0.9668982413
436	0.9666358191
437	0.9663462187
438	0.9659622841
439	0.9655870396
440	0.9651969713
441	0.9648992277
442	0.9645485912
443	0.9643981906
444	0.9640022914
445	0.9636360456
446	0.9633071639
447	0.962939852
448	0.9626399973
449	0.9622709634
450	0.9617873686
451	0.9615917175
452	0.9613301028
453	0.9610876706
454	0.9607743962
455	0.9603641482
456	0.9600893012
457	0.9598753487
458	0.959666631
459	0.9594154008
460	0.9591004853
461	0.9588234396
462	0.958411315
463	0.9582301185
464	0.9580457567
465	0.957780645
466	0.9575323213
467	0.9571813225
468	0.9568520446
469	0.9566084012
470	0.9562321599
471	0.9558229661
472	0.9556141601
473	0.9554837332
474	0.9552950436
475	0.955090752
476	0.9547309185
477	0.9544211094
478	0.9539407519
479	0.9536852985
480	0.9533598345
481	0.9531508705
482	0.9528353155
483	0.952630289
484	0.9524262754
485	0.9521745696
486	0.9519189694
487	0.9516796122
488	0.9513200715
489	0.9510400641
490	0.9507619428
491	0.9505666343
492	0.9503191181
493	0.9497846455
494	0.9495228622
495	0.9492894233
496	0.949099777
497	0.9489277498
498	0.9487079293
499	0.948501173
500	0.9482338707
501	0.9480132376
502	0.9477678873
503	0.9475758846
504	0.9474088487
505	0.9471712957
506	0.9468054415
507	0.9464696639
508	0.9463469866
509	0.9460350153
510	0.9457107327
511	0.94523003
512	0.9451358596
513	0.9449624215
514	0.9447046145
515	0.9444875453
516	0.9441960693
517	0.9440290941
518	0.9437257744
519	0.9435998173
520	0.9434412053
521	0.9431254265
522	0.942710906
523	0.9424179224
524	0.942198032
525	0.9420017217
526	0.9418358564
527	0.9414896223
528	0.9412560032
529	0.9410022142
530	0.9405737593
531	0.9402655899
532	0.9400992443
533	0.9398059172
534	0.9394986356
535	0.9391935941
536	0.9390374591
537	0.9388677732
538	0.9385551676
539	0.9383201392
540	0.9380633549
541	0.9378109111
542	0.9376803132
543	0.9373847685
544	0.9371468268
545	0.936954033
546	0.9366521292
547	0.9361079626
548	0.9357347094
549	0.9353622424
550	0.9350697578
551	0.9348439507
552	0.9346676491
553	0.934519896
554	0.9343496127
555	0.9341009677
556	0.9339484361
557	0.9336743158
558	0.9335095119
559	0.9332119302
560	0.9329215117
561	0.932715937
562	0.9324210677
563	0.9321630482
564	0.9318240702
565	0.9316786855
566	0.9313077634
567	0.9310688369
568	0.930755117
569	0.930582322
570	0.9302901278
571	0.9300221999
572	0.9298958165
573	0.9296972046
574	0.9294493476
575	0.9292310123
576	0.9290241364
577	0.9286385433
578	0.9283770506
579	0.9281099317
580	0.9280017997
581	0.9278266891
582	0.9275589203
583	0.9273989277
584	0.9271809499
585	0.9269722807
586	0.9267217296
587	0.9264202365
588	0.9262649229
589	0.9261246634
590	0.925978747
591	0.9257581651
592	0.9255894059
593	0.9254157684
594	0.9251811903
595	0.9248577617
596	0.9247259542
597	0.924619209
598	0.9244256373
599	0.9241814376
600	0.9239986703
601	0.9237991842
602	0.9235547235
603	0.9234298148
604	0.9231822837
605	0.9230288171
606	0.9226500135
607	0.9223843969
608	0.9220687112
609	0.9219404062
610	0.9217385869
611	0.9215173802
612	0.9213770465
613	0.921025969
614	0.9208965833
615	0.9206508014
616	0.92042229
617	0.9201924484
618	0.9200369891
619	0.9197636979
620	0.9195982226
621	0.9194019972
622	0.9191437519
623	0.9189651378
624	0.9187351331
625	0.9185868333
626	0.9184715694
627	0.9183544949
628	0.917995868
629	0.9177375426
630	0.9176325896
631	0.9174828869
632	0.9171789097
633	0.9170852147
634	0.9169112578
635	0.9166972431
636	0.9163644305
637	0.916211782
638	0.9159535371
639	0.9157824933
640	0.9155036689
641	0.9153685028
642	0.9152679317
643	0.9150109582
644	0.9148709662
645	0.9146777877
646	0.914565084
647	0.9144234513
648	0.914186176
649	0.9140675754
650	0.9139197768
651	0.9136524415
652	0.9134238301
653	0.9132965303
654	0.91309416
655	0.9129812137
656	0.9127868991
657	0.9126277657
658	0.9124919936
659	0.912252037
660	0.9120658557
661	0.9117733806
662	0.9116548515
663	0.9115336165
664	0.9113074271
665	0.9111027334
666	0.9108952673
667	0.9106820242
668	0.9104834881
669	0.9103329043
670	0.9101189404
671	0.9098127622
672	0.9095391817
673	0.909353039
674	0.9090830851
675	0.9089633128
676	0.908825025
677	0.9085911412
678	0.9084335902
679	0.908236357
680	0.908055372
681	0.9079125344
682	0.9076970311
683	0.9075927864
684	0.907374292
685	0.9071445542
686	0.9070751181
687	0.9069579439
688	0.9068345019
689	0.9066251839
690	0.9065368139
691	0.9064249721
692	0.9062090689
693	0.9061204353
694	0.9059549875
695	0.9057727266
696	0.9055256248
697	0.9054605751
698	0.9052813057
699	0.9051990356
700	0.9049851066
701	0.9047931612
702	0.9046312272
703	0.9044762816
704	0.9043822455
705	0.9041634071
706	0.9040819266
707	0.9038748703
708	0.9037685448
709	0.9036719208
710	0.9034591087
711	0.9033843171
712	0.9032131509
713	0.903096335
714	0.9028418524
715	0.9027611876
716	0.9026097935
717	0.9024912729
718	0.9023821957
719	0.9023131033
720	0.9020799904
721	0.9019530789
722	0.9018502972
723	0.9016876368
724	0.9015102563
725	0.9013331579
726	0.9011605717
727	0.9009987499
728	0.9008532033
729	0.9007092526
730	0.9005200787
731	0.9004254084
732	0.9002924386
733	0.9001506296
734	0.8999681391
735	0.8998755553
736	0.8997982564
737	0.8995554217
738	0.8993915986
739	0.8992865923
740	0.8992074127
741	0.8990391856
742	0.8989070073
743	0.8987986415
744	0.8986430326
745	0.8984943359
746	0.898218854
747	0.8979458301
748	0.8978516237
749	0.8976568333
750	0.8974727408
751	0.8973268616
752	0.8971528965
753	0.8970063505
754	0.8969053356
755	0.8966600475
756	0.896521685
757	0.8962045497
758	0.8960448973
759	0.8958777453
760	0.8957477551
761	0.8956542551
762	0.8955609148
763	0.8954192821
764	0.8952273942
765	0.8951370865
766	0.8949471432
767	0.8947451867
768	0.8945666623
769	0.8944711763
770	0.894194014
771	0.8940926578
772	0.8939688423
773	0.8938552568
774	0.8937285795
775	0.8935155
776	0.8934259462
777	0.893282185
778	0.8931883223
779	0.8930721945
780	0.8929855671
781	0.8928844633
782	0.8927941561
783	0.8925186287
784	0.8922090331
785	0.8920820355
786	0.8920169179
787	0.8919356653
788	0.8918288659
789	0.8917212641
790	0.8916488028
791	0.8914423518
792	0.8913347188
793	0.8911404143
794	0.8910400363
795	0.8908532842
796	0.8907638376
797	0.8905068555
798	0.8904095684
799	0.8903152583
800	0.8901921234
801	0.8899596523
802	0.8897574774
803	0.889555488
804	0.8895028717
805	0.8893853522
806	0.8892371734
807	0.8891415718
808	0.888846918
809	0.8887315723
810	0.8886477931
811	0.8885737671
812	0.8882630241
813	0.8880307243
814	0.8876210214
815	0.8874395704
816	0.8872663513
817	0.8871133182
818	0.8870103637
819	0.8869474238
820	0.886879553
821	0.8866737476
822	0.8865707771
823	0.8863979234
824	0.8862536626
825	0.8862035619
826	0.8861117774
827	0.8860337449
828	0.8858782144
829	0.8857524189
830	0.8856015387
831	0.8854823413
832	0.8852641855
833	0.8851464393
834	0.8850256837
835	0.8849039639
836	0.8848198405
837	0.8847230609
838	0.884629205
839	0.8844707245
840	0.8842972674
841	0.8842175581
842	0.8841611517
843	0.8840352376
844	0.8839239332
845	0.8836767716
846	0.8835812225
847	0.8833171644
848	0.882913862
849	0.8828165551
850	0.8827252146
851	0.8826454611
852	0.8825513984
853	0.8823279397
854	0.8821896906
855	0.8818958226
856	0.8817383317
857	0.8816177127
858	0.8814923579
859	0.8813759215
860	0.8812204064
861	0.8811414194
862	0.8810481678
863	0.8808889841
864	0.8808140813
865	0.8806566241
866	0.8804096207
867	0.8802353386
868	0.8800291922
869	0.8798012924
870	0.8796267824
871	0.8795150808
872	0.8793651942
873	0.8790860092
874	0.8788988702
875	0.878802923
876	0.8787344413
877	0.8786441418
878	0.8785538061
879	0.8783831951
880	0.8783257542
881	0.8780943083
882	0.8778974536
883	0.8778206857
884	0.8777204415
885	0.8775582348
886	0.8773164742
887	0.8771953111
888	0.8770977125
889	0.8770494988
890	0.8769616901
891	0.8767755917
892	0.8766623777
893	0.8765730064
894	0.8764137633
895	0.8760901827
896	0.8759086402
897	0.8757447945
898	0.875650772
899	0.8753896368
900	0.8753096824
901	0.8751998805
902	0.8750244061
903	0.8749759363
904	0.8749115987
905	0.8748353291
906	0.8747308849
907	0.874650373
908	0.8745142727
909	0.8743935075
910	0.8742789882
911	0.8741873459
912	0.8740846558
913	0.8740157056
914	0.8739618225
915	0.8738813174
916	0.873755834
917	0.8736448624
918	0.8735288717
919	0.8734551732
920	0.8733049438
921	0.8732264846
922	0.8730567154
923	0.8729199303
924	0.8728187111
925	0.8725925461
926	0.8725020422
927	0.8724489202
928	0.8723629167
929	0.8722642036
930	0.8721663858
931	0.8720418623
932	0.8719570687
933	0.8718466287
934	0.871714455
935	0.8715787962
936	0.8714348913
937	0.8713035301
938	0.8711711248
939	0.8711220031
940	0.871055095
941	0.8708626771
942	0.8707980175
943	0.8706876178
944	0.8705849011
945	0.8704666967
946	0.8703946924
947	0.8703023062
948	0.8701299261
949	0.8699437151
950	0.869812579
951	0.8696653798
952	0.8693979704
953	0.8693538224
954	0.8693201547
955	0.8691293583
956	0.869042305
957	0.8689153677
958	0.8688612339
959	0.8687399931
960	0.8686415315
961	0.8685017054
962	0.8684157042
963	0.8683352566
964	0.8681325221
965	0.8680467335
966	0.8678961528
967	0.8678375159
968	0.8677478847
969	0.867686978
970	0.867600102
971	0.8675177839
972	0.8674070059
973	0.8672980451
974	0.8671810974
975	0.867063164
976	0.8669934082
977	0.866943206
978	0.8668497778
979	0.8667883437
980	0.8667351495
981	0.8666785204
982	0.8665135059
983	0.8664370304
984	0.8663740012
985	0.8662960034
986	0.8661977338
987	0.8661544378
988	0.8660387503
989	0.8658444061
990	0.8657279498
991	0.865657322
992	0.8654891337
993	0.865440803
994	0.8652857661
995	0.8652141756
996	0.8650905816
997	0.8649894624
998	0.8648954846
999	0.8647609594
