model,price,other,mark,group
G.SKILL DDR4-3600 CL18 TRIDENT Z ROYAL 골드 패키지,475.16,64.0,3600,ram
G.SKILL DDR4-3600 CL18 TRIDENT Z ROYAL 골드 패키지,166.81,16.0,3600,ram
G.SKILL DDR4-3600 CL18 TRIDENT Z ROYAL 골드 패키지,268.77,32.0,3600,ram
G.SKILL DDR4-3600 CL14 TRIDENT Z NEO NB 패키지,526.18,32.0,3600,ram
G.SKILL DDR4-3600 CL14 TRIDENT Z NEO NB 패키지,259.27,16.0,3600,ram
G.SKILL DDR4-3200 CL14 FLARE X 블랙 DUAL 패키지,142.41,16.0,3200,ram
G.SKILL DDR4-3200 CL14 FLARE X 블랙 DUAL 패키지,267.08,32.0,3200,ram
G.SKILL DDR4-3600 CL19 SNIPER X SXKB 패키지,176.57,32.0,3600,ram
G.SKILL DDR4-3600 CL19 SNIPER X SXKB 패키지,92.19,16.0,3600,ram
TeamGroup T-Force DDR4-3200 CL16 DARK Z GREY 패키지,121.38,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 DARK Z GREY 패키지,72.58,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 DARK Z GREY 패키지,235.94,64.0,3200,ram
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,213.22,32.0,3600,ram
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,125.91,16.0,3600,ram
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,403.73,64.0,3600,ram
GeIL DDR4-3200 CL16 EVO X II AMD Gray RGB 패키지,150.58,32.0,3200,ram
GeIL DDR4-3200 CL16 EVO X II AMD Gray RGB 패키지,75.16,16.0,3200,ram
GeIL DDR4-3200 CL16 EVO X II AMD Gray RGB 패키지,336.29,64.0,3200,ram
GeIL DDR4-3600 CL18 EVO X II AMD Gray RGB 패키지,94.94,16.0,3600,ram
GeIL DDR4-3600 CL18 EVO X II AMD Gray RGB 패키지,368.15,64.0,3600,ram
GeIL DDR4-3200 CL22 EVO X II AMD Gray RGB,69.03,16.0,3200,ram
GeIL DDR4-3200 CL22 EVO X II AMD Gray RGB,37.0,8.0,3200,ram
GeIL DDR4-3200 CL22 SUPER LUCE RGB Sync 화이트,69.65,16.0,3200,ram
GeIL DDR4-3200 CL22 SUPER LUCE RGB Sync 화이트,36.38,8.0,3200,ram
GeIL DDR4-3200 CL22 SUPER LUCE RGB Sync 블랙,69.83,16.0,3200,ram
GeIL DDR4-3200 CL22 SUPER LUCE RGB Sync 블랙,36.47,8.0,3200,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 서린,158.74,32.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 서린,89.53,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 서린,89.53,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 서린,159.54,32.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT X 패키지,137.53,32.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT X 패키지,72.14,16.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT X,37.62,8.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT X,72.49,16.0,3600,ram
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X,30.52,8.0,3200,ram
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X,60.07,16.0,3200,ram
ESSENCORE KLEVV DDR4-3200 CL16 CRAS X RGB,73.38,16.0,3200,ram
ESSENCORE KLEVV DDR4-3200 CL16 CRAS X RGB,37.62,8.0,3200,ram
PATRIOT DDR4-3200 CL16 VIPER STEEL,70.36,16.0,3200,ram
PATRIOT DDR4-3200 CL16 VIPER STEEL,37.18,8.0,3200,ram
PATRIOT DDR4-3200 CL16 VIPER STEEL,133.98,32.0,3200,ram
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X 패키지,115.71,32.0,3200,ram
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X 패키지,60.07,16.0,3200,ram
ESSENCORE KLEVV DDR4-3600 CL18 CRAS X RGB 패키지,158.83,32.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 CRAS X RGB 패키지,89.62,16.0,3600,ram
Terabyte Ramonster DDR4-3200,32.32,8.0,3200,ram
Terabyte Ramonster DDR4-3200,65.32,16.0,3200,ram
GeIL DDR4-3200 CL22 EVO SPEAR,30.17,8.0,3200,ram
GeIL DDR4-3200 CL22 EVO SPEAR,58.39,16.0,3200,ram
TeamGroup DDR4-2666 Elite,21.3,4.0,2666,ram
TeamGroup DDR4-2666 Elite,26.97,8.0,2666,ram
TeamGroup DDR4-2666 Elite,117.13,32.0,2666,ram
TeamGroup T-Force DDR4-2666 CL16 Delta RGB 화이트 패키지 가넷,76.31,16.0,2666,ram
TeamGroup T-Force DDR4-2666 CL16 Delta RGB 화이트 패키지 가넷,166.81,32.0,2666,ram
TeamGroup T-Force DDR4-2666 CL16 Delta RGB 패키지 가넷,166.81,32.0,2666,ram
TeamGroup T-Force DDR4-2666 CL16 Delta RGB 패키지 가넷,86.07,16.0,2666,ram
TeamGroup DDR4-3200 Elite,27.33,8.0,3200,ram
TeamGroup DDR4-3200 Elite,54.39,16.0,3200,ram
TeamGroup DDR4-3200 Elite,111.36,32.0,3200,ram
GeIL DDR4-3200 CL22 PRISTINE,54.92,16.0,3200,ram
GeIL DDR4-3200 CL22 PRISTINE,28.66,8.0,3200,ram
킹스톤 DDR4-3200,47.47,8.0,3200,ram
킹스톤 DDR4-3200,92.72,16.0,3200,ram
CYNEX DDR4-2666 CL19 엠트란,58.22,16.0,2666,ram
CYNEX DDR4-2666 CL19 엠트란,32.86,8.0,2666,ram
이메이션 DDR4-3200 CL22,29.1,8.0,3200,ram
이메이션 DDR4-3200 CL22,53.33,16.0,3200,ram
CYNEX DDR4-2666 CL19,28.39,8.0,2666,ram
CYNEX DDR4-2666 CL19,53.46,16.0,2666,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z NEO 패키지,369.57,64.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z NEO 패키지,245.16,32.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z NEO 패키지,740.02,28.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z ROYAL 실버 패키지,842.5,28.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z ROYAL 실버 패키지,287.67,32.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z ROYAL 실버 패키지,417.92,64.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z ROYAL 골드 패키지,847.65,28.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z ROYAL 골드 패키지,435.85,64.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z ROYAL 골드 패키지,417.92,64.0,3200,ram
마이크론 Crucial DDR4-3200 CL22,27.86,8.0,3200,ram
마이크론 Crucial DDR4-3200 CL22,53.15,16.0,3200,ram
TeamGroup T-Force DDR4-3600 CL18 DARK Z Alpha 패키지,77.11,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 DARK Z Alpha 패키지,157.43,32.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 DARK Z RED 패키지,75.33,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 DARK Z RED 패키지,137.98,32.0,3600,ram
TeamGroup T-Force DDR4-3200 CL16 DARK Z Alpha 패키지,125.11,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 DARK Z Alpha 패키지,74.27,16.0,3200,ram
TeamGroup T-Force DDR4-3600 CL18 DARK Z GREY 패키지,138.15,32.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 DARK Z GREY 패키지,75.33,16.0,3600,ram
마이크론 Crucial DDR4-2666 CL19,27.95,8.0,2666,ram
마이크론 Crucial DDR4-2666 CL19,68.59,16.0,2666,ram
G.SKILL DDR4-3200 CL16 RIPJAWS V VK 패키지,633.9,28.0,3200,ram
G.SKILL DDR4-3200 CL16 RIPJAWS V VK 패키지,108.25,16.0,3200,ram
G.SKILL DDR4-3200 CL16 RIPJAWS V VK 패키지,316.15,64.0,3200,ram
G.SKILL DDR4-3200 CL16 RIPJAWS V VK,83.41,16.0,3200,ram
G.SKILL DDR4-3200 CL16 RIPJAWS V VK,159.27,32.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,390.77,64.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,237.27,32.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,191.84,32.0,3200,ram
실리콘파워 DDR4-3200 CL16 Xpower Turbine RGB 패키지,217.38,32.0,3200,ram
실리콘파워 DDR4-3200 CL16 Xpower Turbine RGB 패키지,111.79,16.0,3200,ram
