model,price,other,mark,group
G.SKILL DDR4-2666 CL19 AEGIS,53.33,16.0,2666,ram
Apacer DDR4-3200 CL16 PANTHER RAGE RGB 골드 패키지,179.06,32.0,3200,ram
Apacer DDR4-3200 CL16 PANTHER RAGE RGB 골드 패키지,89.97,16.0,3200,ram
Apacer DDR4-3200 CL16 PANTHER RAGE RGB 블랙 패키지,187.93,32.0,3200,ram
Apacer DDR4-3200 CL16 PANTHER RAGE RGB 블랙 패키지,92.72,16.0,3200,ram
Apacer DDR4-3000 CL16 PANTHER RAGE RGB 블랙 패키지,170.01,32.0,3000,ram
Apacer DDR4-3000 CL16 PANTHER RAGE RGB 블랙 패키지,89.62,16.0,3000,ram
ESSENCORE KLEVV DDR4-2666 CL16,57.87,16.0,2666,ram
ESSENCORE KLEVV DDR4-2666 CL16,17.2,4.0,2666,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB WHITE 패키지,173.91,32.0,3200,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB WHITE 패키지,1146.41,64.0,3200,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB WHITE 패키지,388.64,64.0,3200,ram
CORSAIR DDR4-3600 CL18 VENGEANCE PRO RGB BLACK 패키지,158.83,16.0,3600,ram
CORSAIR DDR4-3600 CL18 VENGEANCE PRO RGB BLACK 패키지,313.22,32.0,3600,ram
CORSAIR DDR4-3600 CL18 VENGEANCE PRO RGB BLACK 패키지,759.54,64.0,3600,ram
CORSAIR DDR4-3466 CL16 VENGEANCE PRO RGB WHITE 패키지,664.6,64.0,3466,ram
CORSAIR DDR4-3466 CL16 VENGEANCE PRO RGB WHITE 패키지,401.88,32.0,3466,ram
CORSAIR DDR4-2666 CL16 VENGEANCE PRO RGB WHITE 패키지,381.54,64.0,2666,ram
CORSAIR DDR4-2666 CL16 VENGEANCE PRO RGB WHITE 패키지,557.23,64.0,2666,ram
CORSAIR DDR4-2666 CL16 VENGEANCE PRO RGB WHITE 패키지,177.46,32.0,2666,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB BLACK 패키지,642.1,64.0,3200,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB BLACK 패키지,105.59,16.0,3200,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB BLACK 패키지,350.49,64.0,3200,ram
CORSAIR DDR4-3000 CL15 VENGEANCE PRO RGB WHITE 패키지,448.98,64.0,3000,ram
CORSAIR DDR4-3000 CL15 VENGEANCE PRO RGB WHITE 패키지,214.73,32.0,3000,ram
CORSAIR DDR4-3000 CL15 VENGEANCE PRO RGB WHITE 패키지,181.9,32.0,3000,ram
CORSAIR DDR4-3000 CL15 VENGEANCE PRO RGB BLACK 패키지,551.91,64.0,3000,ram
CORSAIR DDR4-3000 CL15 VENGEANCE PRO RGB BLACK 패키지,104.61,16.0,3000,ram
CORSAIR DDR4-3000 CL15 VENGEANCE PRO RGB BLACK 패키지,181.9,32.0,3000,ram
CORSAIR DDR4-3600 CL18 VENGEANCE PRO RGB WHITE 패키지,1269.74,64.0,3600,ram
CORSAIR DDR4-3600 CL18 VENGEANCE PRO RGB WHITE 패키지,313.22,32.0,3600,ram
CORSAIR DDR4-3600 CL18 VENGEANCE PRO RGB WHITE 패키지,759.54,64.0,3600,ram
CORSAIR DDR4-3466 CL16 VENGEANCE PRO RGB BLACK 패키지,869.57,64.0,3466,ram
CORSAIR DDR4-3466 CL16 VENGEANCE PRO RGB BLACK 패키지,664.6,64.0,3466,ram
CORSAIR DDR4-2666 CL16 VENGEANCE PRO RGB BLACK 패키지,557.23,64.0,2666,ram
CORSAIR DDR4-2666 CL16 VENGEANCE PRO RGB BLACK 패키지,214.73,32.0,2666,ram
CORSAIR DDR4-2666 CL16 VENGEANCE PRO RGB BLACK 패키지,177.46,32.0,2666,ram
G.SKILL DDR4-2933 CL14 FLARE X 블랙 DUAL 패키지,221.83,16.0,2933,ram
G.SKILL DDR4-2933 CL14 FLARE X 블랙 DUAL 패키지,369.74,32.0,2933,ram
G.SKILL DDR4-3200 CL14 RIPJAWS V VK 패키지,150.84,16.0,3200,ram
G.SKILL DDR4-3200 CL14 RIPJAWS V VK 패키지,267.08,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z 패키지,292.81,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z 패키지,158.47,16.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z 패키지,176.22,32.0,3200,ram
G.SKILL DDR4-3200 CL16 TRIDENT Z 패키지,732.39,28.0,3200,ram
G.SKILL DDR4-3200 CL15 TRIDENT Z RGB 패키지,396.63,32.0,3200,ram
G.SKILL DDR4-3200 CL15 TRIDENT Z RGB 패키지,1086.42,28.0,3200,ram
G.SKILL DDR4-3600 CL17 TRIDENT Z RGB 패키지,252.0,32.0,3600,ram
G.SKILL DDR4-3600 CL17 TRIDENT Z RGB 패키지,158.83,16.0,3600,ram
G.SKILL DDR4-3600 CL17 TRIDENT Z RGB 패키지,1086.42,28.0,3600,ram
GeIL DDR4-2666 CL19 PRISTINE,49.6,16.0,2666,ram
GeIL DDR4-2666 CL19 PRISTINE,16.21,4.0,2666,ram
GeIL DDR4-2666 CL19 PRISTINE,27.68,8.0,2666,ram
G.SKILL DDR4-3000 CL16 AEGIS,62.8,16.0,3000,ram
G.SKILL DDR4-3000 CL16 AEGIS,30.54,8.0,3000,ram
Antec DDR4-2400 CL17 Series 1,193.44,16.0,2400,ram
Antec DDR4-2400 CL17 Series 1,80.42,8.0,2400,ram
Antec DDR4-2400 CL17 Series 1,49.57,4.0,2400,ram
CORSAIR DDR4-3600 CL18 VENGEANCE RGB 패키지,1145.74,64.0,3600,ram
CORSAIR DDR4-3600 CL18 VENGEANCE RGB 패키지,717.46,32.0,3600,ram
G.SKILL DDR4-3000 CL16 SNIPER X SXW 패키지,94.94,16.0,3000,ram
G.SKILL DDR4-3000 CL16 SNIPER X SXW 패키지,138.82,32.0,3000,ram
G.SKILL DDR4-3200 CL16 SNIPER X SXW 패키지,158.74,32.0,3200,ram
G.SKILL DDR4-3200 CL16 SNIPER X SXW 패키지,83.41,16.0,3200,ram
G.SKILL DDR4-2400 CL17 SNIPER X SXK 패키지,204.08,16.0,2400,ram
G.SKILL DDR4-2400 CL17 SNIPER X SXK 패키지,372.67,32.0,2400,ram
G.SKILL DDR4-2666 CL18 TRIDENT Z RGB 패키지,100.27,16.0,2666,ram
G.SKILL DDR4-2666 CL18 TRIDENT Z RGB 패키지,203.73,32.0,2666,ram
G.SKILL DDR4-2400 CL17 SNIPER X SXW 패키지,211.27,32.0,2400,ram
G.SKILL DDR4-2400 CL17 SNIPER X SXW 패키지,69.41,16.0,2400,ram
G.SKILL DDR4-3000 CL16 SNIPER X SXK 패키지,116.24,16.0,3000,ram
G.SKILL DDR4-3000 CL16 SNIPER X SXK 패키지,168.59,32.0,3000,ram
G.SKILL DDR4-3200 CL16 SNIPER X SXF 패키지,82.52,16.0,3200,ram
G.SKILL DDR4-3200 CL16 SNIPER X SXF 패키지,158.03,32.0,3200,ram
G.SKILL DDR4-3200 CL16 SNIPER X SXK 패키지,82.52,16.0,3200,ram
G.SKILL DDR4-3200 CL16 SNIPER X SXK 패키지,158.65,32.0,3200,ram
G.SKILL DDR4-3000 CL16 SNIPER X SXF 패키지,74.04,16.0,3000,ram
G.SKILL DDR4-3000 CL16 SNIPER X SXF 패키지,319.83,32.0,3000,ram
TeamGroup T-Force DDR4-3000 CL16 Night Hawk RGB 패키지 서린,144.63,16.0,3000,ram
TeamGroup T-Force DDR4-3000 CL16 Night Hawk RGB 패키지 서린,248.45,32.0,3000,ram
G.SKILL DDR4-3000 CL14 TRIDENT Z RGB 패키지,1140.9,64.0,3000,ram
G.SKILL DDR4-3000 CL14 TRIDENT Z RGB 패키지,292.81,32.0,3000,ram
G.SKILL DDR4-3000 CL14 TRIDENT Z RGB 패키지,350.49,32.0,3000,ram
CORSAIR DDR4-3200 CL16 VENGEANCE WHITE RGB 패키지,547.33,32.0,3200,ram
CORSAIR DDR4-3200 CL16 VENGEANCE WHITE RGB 패키지,245.27,16.0,3200,ram
CORSAIR DDR4-3200 CL16 VENGEANCE WHITE RGB 패키지,554.57,32.0,3200,ram
TeamGroup T-Force DDR4-2666 CL15 VULCAN Red,93.17,8.0,2666,ram
TeamGroup T-Force DDR4-3200 CL16 Night Hawk RGB 화이트 패키지 가넷,102.93,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Night Hawk RGB 화이트 패키지 가넷,169.74,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Night Hawk RGB 패키지 가넷,102.93,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Night Hawk RGB 패키지 가넷,169.03,32.0,3200,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 화이트 패키지,90.29,8.0,2666,ram
TeamGroup T-Force DDR4-2666 CL15 Delta RGB 화이트 패키지,197.27,32.0,2666,ram
TeamGroup T-Force DDR4-3000 CL16 Night Hawk RGB 화이트 패키지 서린,192.78,16.0,3000,ram
TeamGroup T-Force DDR4-3000 CL16 Night Hawk RGB 화이트 패키지 서린,248.45,32.0,3000,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum 패키지,1241.83,64.0,3200,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum 패키지,310.56,32.0,3200,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum 패키지,2752.3,28.0,3200,ram
TeamGroup T-Force DDR4-3000 CL16 Night Hawk RGB 화이트 패키지 가넷,101.62,16.0,3000,ram
TeamGroup T-Force DDR4-3000 CL16 Night Hawk RGB 화이트 패키지 가넷,386.19,32.0,3000,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z RGB 패키지,325.64,32.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z RGB 패키지,195.21,16.0,3200,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z RGB 패키지,404.35,32.0,3200,ram
ADATA XPG DDR4-4133 CL19 SPECTRIX D50 RGB 화이트 패키지,160.6,16.0,4133,ram
PNY XLR8 DDR4-3600 Gaming 패키지,96.89,16.0,3600,ram
ADATA XPG DDR4-3600 CL18 SPECTRIX D50 RGB 화이트 패키지,178.35,32.0,3600,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D50 RGB 화이트,49.69,8.0,3200,ram
TeamGroup T-Force DDR4-3600 CL18 XTREEM ARGB 패키지,185.36,32.0,3600,ram
TeamGroup T-Force DDR4-3200 CL16 XTREEM ARGB 패키지,159.54,32.0,3200,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D50 RGB,48.8,8.0,3200,ram
PATRIOT DDR4-4000 CL19 VIPER RGB 패키지,133.98,16.0,4000,ram
PATRIOT DDR4-3600 CL18 VIPER STEEL 패키지,75.42,16.0,3600,ram
GIGABYTE AORUS DDR4-4400 CL19 RGB Memory 패키지,236.91,16.0,4400,ram
Antec DDR4-3600 CL18 KATANA Series 7 RGB 패키지,126.44,16.0,3600,ram
V-Color DDR4-3200 CL16 PRISM PRO RGB SCC KIT 패키지,178.62,16.0,3200,ram
트랜센드 DDR4-2666 CL19,99.56,32.0,2666,ram
V-Color DDR4-3600 CL18 PRISM PRO RGB SCC KIT 패키지,182.19,16.0,3600,ram
Antec DDR4-3200 CL16 KATANA Series 7 RGB 패키지,116.24,16.0,3200,ram
GIGABYTE DDR4-3200 CL16 DESIGNARE 패키지,461.11,64.0,3200,ram
G.SKILL DDR4-4000 CL15 TRIDENT Z ROYAL 실버 패키지,309.67,16.0,4000,ram
CORSAIR DDR4-3200 CL16 Dominator Platinum RGB WHITE AMD 패키지,298.14,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 XTREEM ARGB 패키지 가넷,140.2,16.0,3200,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D50 RGB 패키지,83.32,16.0,3200,ram
V-Color DDR4-4133 CL19 PRISM PRO RGB 패키지,152.62,16.0,4133,ram
V-Color DDR4-3200 CL16 PRISM PRO RGB 패키지,94.06,16.0,3200,ram
G.SKILL DDR4-4000 CL15 TRIDENT Z ROYAL 골드 패키지,309.67,16.0,4000,ram
건평정보통신 IPLEX DDR4-2666,74.98,16.0,2666,ram
OCPC DDR4-3000 CL19 X3TREME RGB AURA 패키지,75.23,16.0,3000,ram
G.SKILL DDR4-4000 CL15 TRIDENT Z RGB 패키지,267.97,16.0,4000,ram
TeamGroup T-Force DDR4-3600 CL18 XTREEM ARGB 패키지 가넷,144.63,16.0,3600,ram
PATRIOT DDR4-2666 CL19 SIGNATURE PREMIUM,122.01,32.0,2666,ram
갤럭시 HOF OC Lab DDR4-4000 CL19 Arduino RGB 패키지,242.77,16.0,4000,ram
V-Color DDR4-4000 CL19 PRISM PRO RGB 패키지,131.32,16.0,4000,ram
갤럭시 HOF OC Lab DDR4-3600 CL17 Arduino RGB 패키지,237.18,16.0,3600,ram
V-Color DDR4-3600 CL18 PRISM PRO RGB 패키지,102.04,16.0,3600,ram
G.SKILL DDR4-4000 CL19 TRIDENT Z RGB 패키지,403.73,32.0,4000,ram
G.SKILL DDR4-4000 CL17 TRIDENT Z RGB 패키지,258.65,16.0,4000,ram
TeamGroup T-Force DDR4-2666 CL18 Delta RGB 화이트,158.03,32.0,2666,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB,168.06,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지,336.11,64.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 패키지,336.11,64.0,3200,ram
TeamGroup T-Force DDR4-2666 CL18 Delta RGB,157.05,32.0,2666,ram
G.SKILL DDR4-3600 CL14 TRIDENT Z ROYAL B 실버 패키지,275.95,16.0,3600,ram
G.SKILL DDR4-3600 CL14 TRIDENT Z ROYAL B 골드 패키지,275.95,16.0,3600,ram
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트,159.08,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 DARK Z GREY,117.92,32.0,3200,ram
TeamGroup T-Force DDR4-3200 CL16 DARK Z RED,118.28,32.0,3200,ram
TeamGroup T-Force DDR4-3000 CL16 DARK Z GREY 패키지,233.72,64.0,3000,ram
마이크론 Crucial Ballistix DDR4-3200 CL16 RGB White 패키지,75.42,16.0,3200,ram
마이크론 Crucial Ballistix DDR4-3200 CL16 RGB Red 패키지,79.33,16.0,3200,ram
TeamGroup T-Force DDR4-3000 CL16 DARK Z RED 패키지,246.67,64.0,3000,ram
마이크론 Crucial Ballistix DDR4-3200 CL16 RGB Black 패키지,75.42,16.0,3200,ram
갤럭시 HOF OC Lab DDR4-3600 CL17 Aurora RGB 패키지,239.93,16.0,3600,ram
PATRIOT DDR4-3600 CL17 VIPER STEEL 패키지,93.17,16.0,3600,ram
갤럭시 HOF OC Lab DDR4-4000 CL19 Aurora RGB 패키지,246.67,16.0,4000,ram
TeamGroup T-Force DDR4-2666 CL16 DARK Z RED,71.87,16.0,2666,ram
TeamGroup T-Force DDR4-2666 CL16 DARK Z GREY,71.87,16.0,2666,ram
V-Color BLACK DDR4-3200,28.84,8.0,3200,ram
써멀테이크 DDR4-4400 CL19 TOUGHRAM RGB 화이트 패키지,239.57,16.0,4400,ram
써멀테이크 DDR4-3200 CL16 TOUGHRAM RGB 화이트 패키지,120.67,16.0,3200,ram
ZADAK DDR4-3600 CL17 MOAB RGB 패키지,110.03,16.0,3600,ram
써멀테이크 DDR4-3600 CL18 TOUGHRAM Z-ONE RGB 패키지,126.89,16.0,3600,ram
써멀테이크 DDR4-4000 CL19 TOUGHRAM RGB 화이트 패키지,165.93,16.0,4000,ram
TeamGroup T-Force DDR4-2666 CL16 Delta RGB 화이트 서린,39.93,8.0,2666,ram
써멀테이크 DDR4-3200 CL16 TOUGHRAM Z-ONE RGB 패키지,123.34,16.0,3200,ram
써멀테이크 DDR4-3600 CL18 TOUGHRAM RGB 화이트 패키지,129.55,16.0,3600,ram
써멀테이크 DDR4-4000 CL19 TOUGHRAM RGB 블랙 패키지,165.93,16.0,4000,ram
써멀테이크 DDR4-4400 CL19 TOUGHRAM RGB 블랙 패키지,239.57,16.0,4400,ram
타무즈 DDR4-3200 CL16,82.68,8.0,3200,ram
TeamGroup T-Force DDR4-2666 CL16 Delta RGB 서린,40.46,8.0,2666,ram
TeamGroup T-Force DDR4-4000 CL18 XTREEM ARGB 패키지 서린,159.63,16.0,4000,ram
TeamGroup T-Force DDR4-4000 CL18 DARK Z Alpha 패키지,301.66,32.0,4000,ram
ZADAK DDR4-3200 CL16 MOAB RGB 패키지,97.78,16.0,3200,ram
ZADAK DDR4-3200 CL16 SPARK RGB 패키지,109.67,16.0,3200,ram
타무즈 노트북 DDR4-3200 CL16,49.51,8.0,3200,ram
TeamGroup T-Force DDR4-2666 CL15 DARK Z RED,42.59,8.0,2666,ram
TeamGroup T-Force DDR4-2666 CL15 DARK Z GREY,40.82,8.0,2666,ram
SK하이닉스 DDR4-2666 중고,49.5,16.0,2666,ram
ZADAK DDR4-3600 CL17 SPARK RGB 패키지,130.43,16.0,3600,ram
TeamGroup T-Force DDR4-3200 CL16 XTREEM ARGB 패키지 서린,133.45,16.0,3200,ram
TeamGroup T-Force DDR4-3600 CL18 XTREEM ARGB 패키지 서린,134.43,16.0,3600,ram
갤럭시 GALAX GAMER 2 DDR4-2666 CL16 RGB 패키지,84.29,16.0,2666,ram
GIGABYTE AORUS DDR4-3600 CL18 RGB Non Demo kit 패키지,143.45,16.0,3600,ram
GIGABYTE AORUS DDR4-3600 CL18 RGB with Demo kit 패키지,164.15,16.0,3600,ram
GIGABYTE AORUS DDR4-3600 CL18 RGB with Demo kit 패키지,164.15,16.0,3600,ram
GIGABYTE AORUS DDR4-3600 CL18 RGB with Demo kit 패키지,164.15,16.0,3600,ram
GIGABYTE AORUS DDR4-3600 CL18 RGB with Demo kit 패키지,164.15,16.0,3600,ram
써멀테이크 DDR4-3200 CL16 TOUGHRAM RGB 블랙 패키지,118.01,16.0,3200,ram
ZADAK DDR4-4133 CL19 SPARK RGB 패키지,211.45,16.0,4133,ram
ADATA XPG DDR4-4133 CL19-23-23 SPECTRIX D60G RGB 패키지,177.46,16.0,4133,ram
실리콘파워 DDR4-3200 CL16 Xpower Turbine RGB,109.13,16.0,3200,ram
ADATA XPG DDR4-4133 CL19-19-19 SPECTRIX D60G RGB 패키지,186.34,16.0,4133,ram
디자인 코끼리 DDR4-3000 CL16 RGB 블랙 패키지,86.98,16.0,3000,ram
디자인 코끼리 DDR4-3000 CL16 RGB 화이트 패키지,89.25,16.0,3000,ram
디자인 코끼리 DDR4-3200 CL16 RGB 블랙 패키지,90.68,16.0,3200,ram
디자인 코끼리 DDR4-2666 CL17 RGB 블랙 패키지,81.54,16.0,2666,ram
디자인 코끼리 DDR4-3200 CL16 RGB 화이트 패키지,92.24,16.0,3200,ram
GeIL DDR4-3200 CL16 EVO X II ROG RGB 패키지,115.71,16.0,3200,ram
디자인 코끼리 DDR4-2666 CL17 RGB 화이트 패키지,81.22,16.0,2666,ram
TeamGroup T-Force DDR4-3000 CL16 Vulcan Z Red,34.61,4.0,3000,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB BLACK AMD 패키지,229.64,32.0,3200,ram
ADATA XPG DDR4-3600 CL17 SPECTRIX D60G RGB 패키지,177.2,16.0,3600,ram
GLOWAY DDR4-2666 TYPE-A CL19,31.93,8.0,2666,ram
TeamGroup T-Force DDR4-2933 CL16 Delta TUF Gaming RGB 패키지 가넷,159.72,32.0,2933,ram
OCPC DDR4-3600 CL17 X3TREME RGB AURA 패키지,135.39,16.0,3600,ram
OCPC DDR4-2666 CL19 XTREME,62.11,16.0,2666,ram
OCPC DDR4-3000 CL16 X3TREME RGB AURA 패키지,75.23,16.0,3000,ram
갤럭시 GALAX GAMER 2 DDR4-2666 CL16 RGB,44.37,8.0,2666,ram
GeIL DDR4-3200 CL16 SUPER LUCE RGB Sync TUF 패키지,94.94,16.0,3200,ram
GeIL DDR4-3200 CL16 EVO SPEAR,35.23,8.0,3200,ram
GeIL DDR4-3600 CL18 SUPER LUCE RGB Sync 블랙 패키지,97.25,16.0,3600,ram
GeIL DDR4-3600 CL18 SUPER LUCE RGB Sync 화이트 패키지,94.94,16.0,3600,ram
G.SKILL DDR4-3000 CL14 TRIDENT Z DC RGB 패키지,1766.75,64.0,3000,ram
G.SKILL DDR4-3200 CL14 TRIDENT Z DC RGB 패키지,1153.5,64.0,3200,ram
마이크론 DDR4-2400,44.28,8.0,2400,ram
G.SKILL DDR4-4000 CL19 TRIDENT Z ROYAL 실버 패키지,462.11,32.0,4000,ram
G.SKILL DDR4-4000 CL19 TRIDENT Z ROYAL 골드 패키지,467.08,32.0,4000,ram
PATRIOT DDR4-3600 CL17 VIPER RGB 패키지,188.43,16.0,3600,ram
PATRIOT DDR4-2666 CL15 VIPER RGB 화이트 패키지,92.32,16.0,2666,ram
PATRIOT DDR4-4133 CL19 VIPER STEEL 패키지,144.9,16.0,4133,ram
PATRIOT DDR4-3000 CL15 VIPER RGB 패키지,88.73,16.0,3000,ram
PATRIOT DDR4-4133 CL19 VIPER RGB 패키지,142.77,16.0,4133,ram
PATRIOT DDR4-3200 CL16 VIPER RGB 화이트 패키지,85.54,16.0,3200,ram
PATRIOT DDR4-3000 CL15 VIPER RGB 화이트 패키지,108.24,16.0,3000,ram
PATRIOT DDR4-2666 CL15 VIPER RGB 패키지,86.96,16.0,2666,ram
PATRIOT DDR4-3866 CL18 VIPER STEEL 패키지,125.11,16.0,3866,ram
G.SKILL DDR4-4400 CL18 TRIDENT Z ROYAL 골드 패키지,412.6,16.0,4400,ram
PATRIOT DDR4-4000 CL19 VIPER STEEL 패키지,127.77,16.0,4000,ram
TeamGroup T-Force DDR4-3600 CL18 XCALIBUR PG RGB 패키지,128.66,16.0,3600,ram
TeamGroup T-Force DDR4-4000 CL18 XCALIBUR PG RGB 패키지,154.39,16.0,4000,ram
TeamGroup T-Force DDR4-3200 CL16 XCALIBUR PG RGB 패키지,117.21,16.0,3200,ram
TeamGroup T-Force DDR4-4500 CL18 XTREEM 블랙 패키지,290.06,16.0,4500,ram
TeamGroup T-Force DDR4-4133 CL18 XTREEM 실버 패키지,179.54,16.0,4133,ram
TeamGroup T-Force DDR4-4300 CL18 XTREEM 블랙 패키지,220.05,16.0,4300,ram
TeamGroup T-Force DDR4-3866 CL18 XTREEM 실버 패키지,140.12,16.0,3866,ram
INNO3D iChiLL RGB DDR4-3200 DUAL CHANNEL KIT AURA 패키지,148.27,16.0,3200,ram
TeamGroup T-Force DDR4-4500 CL18 XTREEM 실버 패키지,288.38,16.0,4500,ram
TeamGroup T-Force DDR4-4300 CL18 XTREEM 실버 패키지,197.05,16.0,4300,ram
TeamGroup T-Force DDR4-4133 CL18 XTREEM 블랙 패키지,195.3,16.0,4133,ram
TeamGroup T-Force DDR4-4000 CL18 XTREEM 블랙 패키지,159.63,16.0,4000,ram
TeamGroup T-Force DDR4-3600 CL18 XTREEM 블랙 패키지,120.32,16.0,3600,ram
INNO3D iChiLL RGB DDR4-2666 DUAL CHANNEL KIT AURA 패키지,92.17,16.0,2666,ram
TeamGroup T-Force DDR4-3866 CL18 XTREEM 블랙 패키지,155.19,16.0,3866,ram
갤럭시 HOF 2 DDR4-4000 CL19 패키지,370.9,16.0,4000,ram
갤럭시 HOF 2 DDR4-3600 CL17 패키지,112.38,16.0,3600,ram
INNO3D iChiLL RGB DDR4-3000 DUAL CHANNEL KIT AURA 패키지,118.01,16.0,3000,ram
TeamGroup T-Force DDR4-2666 CL18 Delta TUF Gaming RGB 패키지 가넷,82.43,16.0,2666,ram
TeamGroup T-Force DDR4-3200 CL14 Night Hawk Legend RGB 패키지,175.6,16.0,3200,ram
TeamGroup T-Force DDR4-3466 CL16 Night Hawk Legend RGB 패키지,150.84,16.0,3466,ram
GIGABYTE AORUS DDR4-3200 CL16 RGB Non Demo kit 패키지,266.89,16.0,3200,ram
G.SKILL DDR4-4600 CL18 TRIDENT Z ROYAL 실버 패키지,522.09,16.0,4600,ram
G.SKILL DDR4-4600 CL18 TRIDENT Z ROYAL 골드 패키지,527.95,16.0,4600,ram
V-Color DDR4-3200 CL16 프리즘 RGB 패키지,98.94,16.0,3200,ram
G.SKILL DDR4-4266 CL19 TRIDENT Z ROYAL 실버 패키지,289.53,16.0,4266,ram
G.SKILL DDR4-4266 CL19 TRIDENT Z ROYAL 골드 패키지,290.42,16.0,4266,ram
G.SKILL DDR4-3600 CL17 TRIDENT Z ROYAL 골드 패키지,198.05,16.0,3600,ram
G.SKILL DDR4-4400 CL18 TRIDENT Z ROYAL 실버 패키지,412.6,16.0,4400,ram
GLOWAY DDR4-3000 TYPE-B 패키지,85.09,16.0,3000,ram
AFOX DDR4-2666 CL19,25.95,4.0,2666,ram
GeIL DDR4-4133 CL19 SUPER LUCE RGB Sync 블랙 패키지,156.79,16.0,4133,ram
GeIL DDR4-4133 CL19 SUPER LUCE RGB Sync 화이트 패키지,156.79,16.0,4133,ram
킹스톤 DDR4-3600 CL17 HyperX PREDATOR RGB 패키지,219.25,16.0,3600,ram
GLOWAY DDR4-2400 TYPE-A,2661.93,8.0,2400,ram
GeIL DDR4-2666 CL19 SUPER LUCE RGB Sync TUF 패키지,91.39,16.0,2666,ram
GeIL DDR4-3000 CL16 SUPER LUCE RGB Sync TUF 패키지,78.82,16.0,3000,ram
GIGABYTE AORUS DDR4-3200 CL16 RGB Memory with Demo kit 패키지,242.32,16.0,3200,ram
Apacer DDR4-3000 CL16 PANTHER RAGE RGB 골드 패키지,170.01,32.0,3000,ram
CORSAIR DDR4-3200 CL16 VENGEANCE PRO RGB BLACK INTEL 패키지,173.91,32.0,3200,ram
GeIL DDR4-3000 CL16 SUPER LUCE RGB Sync 블랙 AMD Edition 패키지,153.5,16.0,3000,ram
GeIL DDR4-2400 CL17 EVO SPEAR,40.2,8.0,2400,ram
GeIL DDR4-3000 CL16 SUPER LUCE RGB Sync 화이트 AMD Edition 패키지,113.71,16.0,3000,ram
GeIL DDR4-2666 CL19 EVO SPEAR,30.17,8.0,2666,ram
GeIL DDR4-2666 CL19 SUPER LUCE RGB Sync 블랙 AMD Edition 패키지,79.86,16.0,2666,ram
GeIL DDR4-2666 CL19 SUPER LUCE RGB Sync 화이트 AMD Edition 패키지,79.77,16.0,2666,ram
GeIL DDR4-3000 CL16 EVO SPEAR,33.1,8.0,3000,ram
GIGABYTE AORUS DDR4-3200 CL16 RGB with Demo kit 패키지,182.87,16.0,3200,ram
G.SKILL DDR4-2800 CL17 AEGIS,57.68,8.0,2800,ram
TeamGroup T-Force DDR4-3600 CL18 XCALIBUR RGB 패키지 서린,115.79,16.0,3600,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D80 블랙 패키지,249.33,16.0,3200,ram
TeamGroup T-Force DDR4-3600 CL18 XCALIBUR RGB 패키지 가넷,115.35,16.0,3600,ram
TeamGroup T-Force DDR4-4000 CL18 XCALIBUR RGB 패키지 서린,146.32,16.0,4000,ram
킹스톤 DDR4-2933 CL15 HyperX PREDATOR RGB 패키지,388.64,32.0,2933,ram
갤럭시 HOF Extreme DDR4-4000 CL19 패키지,283.94,16.0,4000,ram
TeamGroup T-Force DDR4-4000 CL18 XCALIBUR RGB 패키지 가넷,233.01,16.0,4000,ram
Antec DDR4-2666 CL16 Series 5 RGB 블랙,115.35,8.0,2666,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D80 레드,126.0,8.0,3200,ram
ADATA XPG DDR4-3000 CL16 SPECTRIX D80 레드 패키지,228.04,16.0,3000,ram
